oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
070161275020000,Chicago Ridge SD 127-5,,0.0,,0.0,24,42.1,33,57.9,,0.0,57
070161280020000,Palos Heights SD 128,,0.0,,0.0,2,33.3,4,66.7,,0.0,6
070161300020000,Cook County SD 130,,0.0,,0.0,149,58.0,102,39.7,6,2.3,257
070161320020000,Calumet Public SD 132,,0.0,,0.0,7,6.6,99,93.4,,0.0,106
070161330020000,Gen George Patton SD 133,,0.0,,0.0,,0.0,123,100.0,,0.0,123
070161350020000,Orland SD 135,,0.0,,0.0,,0.0,68,100.0,,0.0,68
070161400020000,Kirby SD 140,,0.0,,0.0,76,80.0,19,20.0,,0.0,95
070161420020000,Forest Ridge SD 142,,0.0,,0.0,41,83.7,8,16.3,,0.0,49
070161430020000,Midlothian SD 143,,0.0,,0.0,10,25.6,29,74.4,,0.0,39
070161435020000,Posen-Robbins ESD 143-5,,0.0,,0.0,6,2.5,234,97.5,,0.0,240
070161440020000,Prairie-Hills ESD 144,,0.0,,0.0,2,0.4,541,99.4,1,0.2,544
070161450020000,Arbor Park SD 145,,0.0,,0.0,53,64.6,29,35.4,,0.0,82
070161460040000,CCSD 146,,0.0,,0.0,73,72.3,28,27.7,,0.0,101
070161470020000,W Harvey-Dixmoor PSD 147,,0.0,,0.0,3,1.5,194,98.5,,0.0,197
070161480020000,Dolton SD 148,3,0.5,,0.0,221,39.5,336,60.0,,0.0,560
070161490020000,Dolton SD 149,,0.0,,0.0,,0.0,208,100.0,,0.0,208
070161500020000,South Holland SD 150,,0.0,,0.0,2,2.6,73,96.1,1,1.3,76
070161510020000,South Holland SD 151,,0.0,,0.0,57,17.4,271,82.6,,0.0,328
070161520020000,Harvey SD 152,,0.0,,0.0,257,27.3,684,72.7,,0.0,941
070161525020000,Hazel Crest SD 152-5,,0.0,,0.0,15,11.5,116,88.5,,0.0,131
070161530020000,Homewood SD 153,,0.0,,0.0,101,61.6,61,37.2,2,1.2,164
