distID,District,County,white_district,black_district,hispanic_district,asian_district,nathawaiian_district,NativeAmerica_district,multi_district,lep_district,iiep_district,lowInc_district,home_district
060164010260000,Elmwood Park CUSD 401,Cook,49.6,2.6,43.1,2.3,0.1,0.7,1.5,13.5,17.2,31.5,0.4
190220880160000,DuPage HSD 88,Dupage,41.8,6.6,42.7,6.8,0,0.4,1.7,5.1,13.7,55.6,1.9
070161560020000,Lincoln ESD 156,Cook,2,54.1,42.5,0.1,0,0.1,1.3,18.4,11,94.9,0.6
340491200130000,Mundelein Cons HSD 120,Lake,47.5,2.5,42.5,5.3,0,0,2.2,4.3,13.2,39,1.3
56099365U260000,Valley View CUSD 365U,Will,26.9,20.3,41.8,6.6,0.3,0.2,4,13.3,15.4,64.2,1.9
340490030040000,Beach Park CCSD 3,Lake,26.2,23.3,41.7,3.8,0.2,0.3,4.5,13.2,19.3,61,0.9
470712310040000,Rochelle CCSD 231,Ogle,51,1.9,41.6,0.6,0,0.5,4.4,22,17.2,67.9,5.3
060161050020000,La Grange SD 105 South,Cook,51.4,2.7,41.2,1.2,0.1,0.3,3,18,17,48.5,1
050160620040000,CCSD 62,Cook,42.7,4.1,40.9,10.9,0.3,0.1,1,33.5,18,59.8,1.2
070161250020000,Atwood Heights SD 125,Cook,40.2,16.8,38.8,1.8,0,0,2.4,4.3,20.9,53.9,0.8
060160810020000,Schiller Park SD 81,Cook,48.7,1.8,38.7,7.1,0,2.2,1.5,28,9.6,71.7,0.8
350502890040000,Mendota CCSD 289,La Salle,57.7,2.1,38.5,0.4,0.1,0.1,1.2,16.5,18.3,67.6,1.6
070162200170000,Reavis Twp HSD 220,Cook,56.5,2.1,38.3,2.1,0.1,0.4,0.5,7.6,14.3,58.5,1.3
340490560020000,Gurnee SD 56,Lake,27.1,20.7,38.2,7.5,0,0.4,6,13.5,14.1,25.6,1
110213060260000,Arcola CUSD 306,Douglas,52.2,0.3,38,1.1,0.1,0,8.3,11.8,20.9,48.7,3.4
060160940020000,Komarek SD 94,Cook,44.6,15.7,37.3,2.1,0,0,0.4,10.9,19.1,41.5,1
560990880020000,Chaney-Monge SD 88,Will,44,10.7,37,0.2,0,0,8.1,19.4,18.6,78,1.4
050160150040000,Palatine CCSD 15,Cook,41.2,3.4,36.2,16.4,0.1,0.3,2.3,22.2,11.8,42,0.9
190220450020000,SD 45 DuPage County,Dupage,45.4,7.4,35.8,7.2,0.2,0.6,3.4,20.6,17.5,53.3,0.8
340491260170000,Zion-Benton Twp HSD 126,Lake,26.6,29.9,35.8,2.1,0.1,1.2,4.2,3.9,13.1,62,0.5
040041000260000,Belvidere CUSD 100,Boone,56.7,3.2,35.6,1.2,0.3,0.5,2.7,11.7,14.7,54.3,0.5
310453000260000,CUSD 300,Kane,50,5.1,35.6,6,0.1,0.2,3,13.9,14.5,47,1.4
070161550020000,Calumet City SD 155,Cook,2,59.6,35,0.1,0.1,2.4,0.8,13.7,16.7,55.6,1
560990890020000,Fairmont SD 89,Will,7.8,52.8,34.9,0,0,0.6,3.9,10.1,13.4,91.6,3.9
350502800170000,Mendota Twp HSD 280,La Salle,64.7,0.5,34.3,0.2,0,0,0.3,4.2,9.7,49.9,1
300910170220000,Cobden SUD 17,Union,64,0.4,34.2,0.2,0,0.5,0.7,8.8,16.5,63.8,1.8
070161510020000,South Holland SD 151,Cook,1.1,63.2,34,0.1,0.1,0.1,1.4,20.3,15.8,98.2,1.5
470980050260000,Sterling CUSD 5,Whiteside,58.3,3.3,33.6,0.5,0,0.6,3.8,4.8,17.4,58.8,1
060160925020000,Westchester SD 92-5,Cook,37.8,23.1,33.4,2.4,0,0.3,3,10.7,14.6,35.9,0.3
070161470020000,W Harvey-Dixmoor PSD 147,Cook,1.8,65,33,0,0.2,0,0.1,21.9,12.5,97.4,3
440632000260000,Woodstock CUSD 200,McHenry,59.3,2.8,32.7,1.8,0.1,0.2,3.2,14.5,11.4,47.7,1.6
190220200020000,Keeneyville SD 20,Dupage,38.8,13.8,32.5,9.5,0,1.8,3.6,19.1,15.7,50.7,2.2
56099070C040000,Laraway CCSD 70C,Will,6.5,56.3,32.2,0,0,0.2,4.9,17.1,16.9,95.6,1.4
060162080170000,Riverside-Brookfield Twp SD 208,Cook,59,4.5,31.8,2,0,0.1,2.6,3.5,12.2,17.9,1.3
350501220020000,La Salle ESD 122,La Salle,57.2,4.7,31.7,0.5,0,0.2,5.8,13.8,19.4,81.9,1.7
56099088A020000,Richland GSD 88A,Will,45.5,16.5,31.6,5.2,0.3,0.1,0.8,10.3,11.7,48,0.8
070161260020000,Alsip-Hazlgrn-Oaklwn SD 126,Cook,49.3,14.4,30.7,2.2,0,0.3,3.1,12.7,15.5,63,0.4
470712120170000,Rochelle Twp HSD 212,Ogle,62.9,2.5,30.5,0.5,0.1,0.4,3,5.1,17,31.1,3.2
070162060170000,Bloom Twp HSD 206,Cook,12.5,53.6,30.2,0.5,0.1,0.4,2.7,3.8,17.8,87.2,1.2
190220680020000,Woodridge SD 68,Dupage,44.4,13.7,30.2,6.7,0.2,0.2,4.6,18.2,13.2,51.9,1.2
280060990040000,Spring Valley CCSD 99,Bureau,63.9,2.1,29.9,0.4,0.1,0,3.6,8.3,14.3,65.3,0.5
320380100260000,Iroquois West CUSD 10,Iroquois,61.1,2,29.8,0.1,0,0,7.1,3.4,6.2,57,0.6
060160950020000,Brookfield Lagrange Park SD 95,Cook,64.4,2.2,29.5,1.3,0,0.2,2.5,2.6,10.6,25.1,0.1
070161230020000,Oak Lawn-Hometown SD 123,Cook,58.9,6.7,29.4,2,0,0.4,2.5,10.6,15.4,52,1.3
070161430020000,Midlothian SD 143,Cook,36.1,28.1,29.4,0.9,0.1,2.8,2.6,2.8,17.3,76.7,1.4
490810370020000,East Moline SD 37,Rock Island,42.5,20,29.4,2.7,0.1,0.1,5.2,18.5,8.3,74,1.9
070161080020000,Willow Springs SD 108,Cook,57.3,11.8,29.3,1,0.2,0,0.5,9.8,18.9,72.4,0.7
050162140170000,Township HSD 214,Cook,58.6,2.3,29,7.2,0,0.2,2.7,5,11.7,28.8,1
