"distID","DistID","districtNAME","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc","test_district"
"190220340020000","90220340020000","Winfield SD 34","Winfield SD 34","Dupage",79.7,2.1,11.3,2.1,0,0,4.8,4.8,14.6,24.8,0.9,335,,0,,0,3,75,1,25,,0,4,1.2,18.2
"190220410020000","90220410020000","Glen Ellyn SD 41","Glen Ellyn SD 41","Dupage",66,4.1,14.1,12.3,0,0.2,3.3,14.3,11.3,25.7,1.3,3451,,0,,0,72,49.7,73,50.3,,0,145,4.2,21.5
"190220440020000","90220440020000","Lombard SD 44","Lombard SD 44","Dupage",62.2,6.6,15.6,11.7,0.2,0.2,3.5,11.4,13.6,36.3,1.9,3184,,0,,0,84,72.4,32,27.6,,0,116,3.6,25.7
"190220450020000","90220450020000","SD 45 DuPage County","SD 45 DuPage County","Dupage",45.4,7.4,35.8,7.2,0.2,0.6,3.4,20.6,17.5,53.3,0.8,3426,,0,,0,87,57.2,65,42.8,,0,152,4.4,46.6
"190220480020000","90220480020000","Salt Creek SD 48","Salt Creek SD 48","Dupage",58.1,8.9,16,14.3,0.2,0,2.5,9.5,11.6,44.4,0.6,482,,0,,0,,0,2,100,,0,2,0.4,27.4
"190220530020000","90220530020000","Butler SD 53","Butler SD 53","Dupage",46.8,1.6,4.9,41.8,0.6,0,4.3,3.9,13,1.2,0,491,,0,,0,1,100,,0,,0,1,0.2,10.8
"190220870170000","90220870170000","Glenbard Twp HSD 87","Glenbard Twp HSD 87","Dupage",52.8,8,21.1,14.5,0.1,0.6,2.9,3.5,12.8,34.6,0.9,8288,,0,3,0.1,2324,88.9,288,11,,0,2615,31.6,32
"190220880160000","90220880160000","DuPage HSD 88","DuPage HSD 88","Dupage",41.8,6.6,42.7,6.8,0,0.4,1.7,5.1,13.7,55.6,1.9,4070,,0,,0,1780,82.1,389,17.9,,0,2169,53.3,51
"190220890040000","90220890040000","CCSD 89","CCSD 89","Dupage",65.2,6,12.3,11.6,0,0.1,4.6,9.7,11.5,25,1.2,2011,,0,,0,31,67.4,15,32.6,,0,46,2.3,22.9
"190220930040000","90220930040000","CCSD 93","CCSD 93","Dupage",46.7,7,23.2,19.7,0.1,0.3,3.2,15.2,14.3,42.5,0.5,3827,,0,,0,32,86.5,5,13.5,,0,37,1,33.4
"190220940160000","90220940160000","CHSD 94","CHSD 94","Dupage",35.5,2.4,53.6,4.4,0.1,0.3,3.8,9.3,12.5,46.7,1.3,1983,,0,,0,,0,152,100,,0,152,7.7,59.8
"190221000160000","90221000160000","Fenton CHSD 100","Fenton CHSD 100","Dupage",34.8,3.3,51.1,3,0.1,0.5,7.2,7.2,12.7,52.5,0.5,1555,,0,3,0.8,307,81.4,61,16.2,6,1.6,377,24.2,61.6
"190221080160000","90221080160000","Lake Park CHSD 108","Lake Park CHSD 108","Dupage",65.3,6.4,17.1,8.5,0.1,0.4,2,1.4,10.8,15.3,0.7,2698,,0,,0,115,45.6,137,54.4,,0,252,9.3,25.5
"190222000260000","90222000260000","CUSD 200","CUSD 200","Dupage",65.3,6.7,17.1,6.5,0,0.2,4.2,9.3,16.2,30.1,1.2,13112,,0,,0,434,60.9,279,39.1,,0,713,5.4,28
"190222020260000","90222020260000","Lisle CUSD 202","Lisle CUSD 202","Dupage",66.7,9.6,10.6,7.4,0.1,0.4,5.3,3.6,16.7,35.6,1.3,1560,,0,3,4.4,23,33.8,42,61.8,,0,68,4.4,25.5
"190222030260000","90222030260000","Naperville CUSD 203","Naperville CUSD 203","Dupage",65.7,4.9,9.7,15.4,0.1,0.2,4.1,5.3,10.3,17.6,0.7,16917,,0,1,0.3,75,20.4,292,79.3,,0,368,2.2,18.7
"190222040260000","90222040260000","Indian Prairie CUSD 204","Indian Prairie CUSD 204","Dupage",50.6,9.2,10.9,24.5,0.1,0.2,4.5,6.7,10.7,19.8,0.6,28327,,0,,0,1196,62.9,702,36.9,3,0.2,1901,6.7,24.6
"310450460220000","10450460220000","SD U-46","SD U-46","Kane",29.9,6.5,50.8,8.5,0.1,1.2,3,26.5,13,62.2,1.9,40400,,0,,0,7063,77.6,2034,22.4,2,0,9099,22.5,60.3
"310451010220000","10451010220000","Batavia USD 101","Batavia USD 101","Kane",80.7,3.4,9.6,2.8,0.1,0.2,3.1,4,14.1,18.9,1,6148,1,0.3,,0,205,53.8,174,45.7,1,0.3,381,6.2,16.1
"310451290220000","10451290220000","Aurora West USD 129","Aurora West USD 129","Kane",27.7,11.6,54.4,3.1,0.2,0.6,2.5,17.2,13.3,66.9,1.2,12638,1,0.1,15,0.8,,0,1892,99,4,0.2,1912,15.1,68.5
"310451310220000","10451310220000","Aurora East USD 131","Aurora East USD 131","Kane",3.4,7.9,86.1,0.6,0,0.5,1.4,34.9,13.1,81.6,1.1,14799,,0,2,0.1,317,19,1352,80.9,,0,1671,11.3,95.4
"310453000260000","10453000260000","CUSD 300","CUSD 300","Kane",50,5.1,35.6,6,0.1,0.2,3,13.9,14.5,47,1.4,20862,,0,,0,94,22.8,316,76.5,3,0.7,413,2,43.7
"310453010260000","10453010260000","Central CUSD 301","Central CUSD 301","Kane",70.4,2.9,13.3,10.2,0.2,0.2,2.9,4.9,12,15.1,0.3,3722,,0,,0,5,6.8,69,93.2,,0,74,2,19.1
"310453020260000","10453020260000","Kaneland CUSD 302","Kaneland CUSD 302","Kane",80.9,1.9,12,2.1,0,0.1,3,1.8,12.4,18.1,0.5,4657,,0,,0,240,70.2,102,29.8,,0,342,7.3,16.9
"310453030260000","10453030260000","St Charles CUSD 303","St Charles CUSD 303","Kane",79.3,1.5,10.9,5.7,0.1,0.3,2.3,4.6,13.3,17.3,0.6,13145,,0,,0,110,21.5,394,77,8,1.6,512,3.9,14.7
"310453040260000","10453040260000","Geneva CUSD 304","Geneva CUSD 304","Kane",85.7,0.4,8.2,3,0,0.1,2.7,1.6,14.7,5.2,0.3,5889,,0,,0,172,74.8,57,24.8,1,0.4,230,3.9,11.3
"340490240040000","40490240040000","Millburn CCSD 24","Millburn CCSD 24","Lake",77.6,1.7,7.3,8,0,0.1,5.3,2.9,12.1,3.9,0.3,1320,,0,,0,7,63.6,4,36.4,,0,11,0.8,14.3
"340490330020000","40490330020000","Emmons SD 33","Emmons SD 33","Lake",83.8,3.6,7.8,1,2.9,0.3,0.6,1,11.7,11.4,0,308,,0,,0,,0,3,100,,0,3,1,12
"340490340040000","40490340040000","Antioch CCSD 34","Antioch CCSD 34","Lake",79.3,3.2,8.9,3.3,0,0.3,4.9,3.7,12.1,27.7,0.4,2957,,0,,0,14,42.4,19,57.6,,0,33,1.1,17
"340490360020000","40490360020000","Grass Lake SD 36","Grass Lake SD 36","Lake",84.3,2.5,8.8,0.6,0,0.6,3.1,1.3,22.6,35.2,3.1,159,,,,,,,,,,,,,14.4
"340490370020000","40490370020000","Gavin SD 37","Gavin SD 37","Lake",72.9,2.8,22.8,0.7,0.1,0.7,0,6.5,14.7,62.1,1,879,,0,1,1.1,50,52.6,44,46.3,,0,95,10.8,25.6
"340490380020000","40490380020000","Big Hollow SD 38","Big Hollow SD 38","Lake",70,4.9,16.3,5.3,0.1,0.1,3.4,6.3,15,27.4,1,1815,,0,,0,26,65,14,35,,0,40,2.2,24.6
"340490410040000","40490410040000","Lake Villa CCSD 41","Lake Villa CCSD 41","Lake",67.6,3.9,20.3,3.9,0.5,0.1,3.6,9,16.3,29.5,0.4,2809,,0,,0,22,53.7,19,46.3,,0,41,1.5,27.8
