"distID","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc"
"030262030260000","Vandalia CUSD 203","Fayette",95.7,0,1.5,0.1,0.1,0.6,1.9,0,17.7,54.7,4.1,1501,2,1.5,1,0.7,34,24.8,100,73,,0,137,9.1
"030262040260000","Ramsey CUSD 204","Fayette",97.7,0.6,0.4,0.4,0,0,0.8,0,21.2,62.7,5.8,482,2,5,,0,16,40,22,55,,0,40,8.3
"030680020260000","Panhandle CUSD 2","Montgomery",95,1.2,1.5,0,0,0.6,1.7,0,20.6,50.3,6,519,,0,,0,24,48,26,52,,0,50,9.6
"030680030260000","Hillsboro CUSD 3","Montgomery",95.7,1.8,1.8,0.4,0,0,0.4,0.1,15.4,54.8,2.6,1820,,0,,0,242,67.8,115,32.2,,0,357,19.6
"030680120260000","Litchfield CUSD 12","Montgomery",92.6,1.1,2.2,1.3,0.5,0.1,2.2,0,15.1,58.8,4.9,1496,,0,,0,194,84,37,16,,0,231,15.4
"030680220260000","Nokomis CUSD 22","Montgomery",96.4,0.3,1.1,0,0,0.5,1.8,0.2,13.3,50.4,3,661,,0,,0,64,66.7,30,31.3,2,2.1,96,14.5
"040041000260000","Belvidere CUSD 100","Boone",56.7,3.2,35.6,1.2,0.3,0.5,2.7,11.7,14.7,54.3,0.5,8222,,0,,0,780,75.2,257,24.8,,0,1037,12.6
"040042000260000","North Boone CUSD 200","Boone",67.6,1.6,24.8,0.7,0,0.4,4.9,8.8,12.3,47,1.1,1644,,,,,,,,,,,,
"041011220220000","Harlem UD 122","Winnebago",77.7,4.8,10.3,1.5,0.1,0.4,5.1,3.5,15.5,53.1,2.2,6860,,0,1,0.1,873,54.6,726,45.4,,0,1600,23.3
"041011310040000","Kinnikinnick CCSD 131","Winnebago",84.9,1.7,6.2,2.5,0,0.6,4.1,0.7,16.4,27.1,0.2,1810,,0,,0,92,76,29,24,,0,121,6.7
"041011330040000","Prairie Hill CCSD 133","Winnebago",88.8,1.1,4,4.3,0.1,0.4,1.3,1.2,5.6,18.6,0,748,,0,,0,12,70.6,5,29.4,,0,17,2.3
"041011340040000","Shirland CCSD 134","Winnebago",95.9,0,0,0.8,0,0,3.3,0,16.5,30.6,0,121,,0,,0,19,90.5,2,9.5,,0,21,17.4
"041011400040000","Rockton SD 140","Winnebago",86.5,2,6.9,1.6,0,0.4,2.7,1,11.9,30.2,0.5,1529,,0,,0,23,37.1,39,62.9,,0,62,4.1
"041012050250000","Rockford SD 205","Winnebago",32.1,30.4,26.6,3.9,0.1,0.2,6.6,12.7,14,82.9,6.8,28650,72,0.4,,0,11006,53.7,9300,45.4,106,0.5,20484,71.5
"041012070160000","Hononegah CHD 207","Winnebago",87,1.6,5.9,2.2,0.2,0.3,2.7,0.2,11.5,23.1,0.1,2115,,0,15,3.9,332,85.8,40,10.3,,0,387,18.3
"041013200260000","County of Winnebago SD 320","Winnebago",62,4.8,22,0.5,0,0.2,10.5,5.2,12.4,67.7,0.2,1048,,0,,0,76,29.2,184,70.8,,0,260,24.8
"041013210260000","Pecatonica CUSD 321","Winnebago",91.5,0.7,4.1,1,0,0.7,2,0.1,13.2,20.1,0.8,886,2,5.4,,0,7,18.9,28,75.7,,0,37,4.2
"041013220260000","Durand CUSD 322","Winnebago",93.8,0.8,2.2,0.3,0,0,2.8,0,12.5,31.4,0.5,601,,0,,0,47,77,14,23,,0,61,10.1
"041013230260000","Winnebago CUSD 323","Winnebago",85.8,3.9,5.6,0.6,0,0.8,3.3,1.7,15.6,31.5,0.3,1446,,0,,0,,0,5,83.3,1,16.7,6,0.4
"050160150040000","Palatine CCSD 15","Cook",41.2,3.4,36.2,16.4,0.1,0.3,2.3,22.2,11.8,42,0.9,12745,,0,,0,303,86.1,35,9.9,14,4,352,2.8
"050160210040000","Wheeling CCSD 21","Cook",33.6,1.9,53.2,8.9,0.1,0.7,1.7,38.1,10.2,61.9,4,6899,,0,,0,150,83.8,29,16.2,,0,179,2.6
"050160230020000","Prospect Heights SD 23","Cook",65.9,2.1,21,9,0.1,0.2,1.7,22.5,11.2,36.3,0.9,1571,,0,,0,12,75,4,25,,0,16,1
"050160250020000","Arlington Heights SD 25","Cook",78.3,0.9,7.4,10,0.1,0.3,2.8,8.7,14.9,3.4,0.4,5364,,0,,0,24,80,6,20,,0,30,0.6
"050160260020000","River Trails SD 26","Cook",50.1,2.8,25.1,18.1,0.3,0.9,2.7,18.1,13,39.7,0.3,1433,,0,,0,26,56.5,20,43.5,,0,46,3.2
"050160270020000","Northbrook ESD 27","Cook",81.7,0.9,3.8,11.9,0,0,1.8,4.3,15.9,2.7,0,1248,,0,,0,25,100,,0,,0,25,2
"050160280020000","Northbrook SD 28","Cook",80.2,0.5,4.1,10.5,0,0.4,4.2,5.2,12.7,7.5,0.4,1718,,0,,0,55,91.7,5,8.3,,0,60,3.5
"050160290020000","Sunset Ridge SD 29","Cook",91.4,0,2.4,5.7,0.4,0,0,3.7,20.4,1.2,0,491,,,,,,,,,,,,
"050160300020000","Northbrook/Glenview SD 30","Cook",66.3,0.6,4,26.3,0,0.2,2.6,6.7,16.3,2.6,0.3,1126,,0,,0,,0,1,100,,0,1,0.1
"050160310020000","West Northfield SD 31","Cook",48.5,2.6,13.8,33.2,0.1,0,1.8,23.4,10.4,23.4,0.3,907,,0,,0,8,72.7,3,27.3,,0,11,1.2
"050160340040000","Glenview CCSD 34","Cook",65.6,1.5,13.7,15.8,0.1,0.1,3.2,15.2,12.6,24.8,0.2,4887,,0,,0,119,80.4,29,19.6,,0,148,3
"050160350020000","Glencoe SD 35","Cook",89.6,0.4,2.6,3.8,0,0.2,3.4,0.8,14.9,1.8,0,1207,,,,,,,,,,,,
"050160360020000","Winnetka SD 36","Cook",90,0.3,2.5,2.9,0,0.2,4.1,0.4,18.6,0.1,0,1807,,0,,0,5,71.4,2,28.6,,0,7,0.4
"050160370020000","Avoca SD 37","Cook",58.3,1.5,2.4,24.8,0.1,1.1,11.6,11.8,9.3,7.9,0,713,,0,,0,9,75,3,25,,0,12,1.7
"050160380020000","Kenilworth SD 38","Cook",91.8,0.4,0.4,3.4,0.2,0,3.8,1.4,14.1,0,0,497,,,,,,,,,,,,
"050160390020000","Wilmette SD 39","Cook",77.7,0.7,5,10,0,0,6.5,2.9,12.3,3.6,0.4,3703,,0,,0,4,28.6,10,71.4,,0,14,0.4
"050160540040000","Schaumburg CCSD 54","Cook",42,6.3,24.7,22.8,0.2,0.4,3.5,21.6,9.6,30.5,0.7,14268,,0,,0,129,62.9,76,37.1,,0,205,1.4
"050160570020000","Mount Prospect SD 57","Cook",77.6,0.8,9.4,7.3,0,0,4.9,5.5,11.9,13,0.5,2252,,0,,0,19,70.4,8,29.6,,0,27,1.2
"050160590040000","Comm Cons SD 59","Cook",38.9,3.4,43.4,11.3,0.3,0.9,1.9,34.8,12.4,61.9,2.7,7010,,0,,0,,0,82,100,,0,82,1.2
"050160620040000","CCSD 62","Cook",42.7,4.1,40.9,10.9,0.3,0.1,1,33.5,18,59.8,1.2,4793,,0,,0,29,40.3,43,59.7,,0,72,1.5
"050160630020000","East Maine SD 63","Cook",38.8,4,18,31.2,0.2,3.8,4.1,34.7,12,60.3,1.5,3588,,0,,0,94,81,22,19,,0,116,3.2
"050160640040000","Park Ridge CCSD 64","Cook",85.8,0.4,7.4,3.7,0.1,0,2.6,5.6,14.5,9.4,0.2,4555,,0,,0,150,85.2,26,14.8,,0,176,3.9
"050160650040000","Evanston CCSD 65","Cook",43.7,24.3,19.4,4.5,0.1,0.2,7.8,12.1,12.8,43,3.3,7655,,0,,0,24,19,102,81,,0,126,1.6
"050160670020000","Golf ESD 67","Cook",49.8,2.5,9.7,36.3,0.2,0.2,1.5,8,12.2,32.5,0.5,609,,0,,0,28,100,,0,,0,28,4.6
"050160680020000","Skokie SD 68","Cook",36.4,10.4,16.1,32,0.1,0.4,4.6,15.5,14.8,51.9,1.7,1834,,0,,0,102,75.6,33,24.4,,0,135,7.4
"050160690020000","Skokie SD 69","Cook",36.8,10.3,18.8,28,0.1,0.2,5.9,24.5,10.6,63,2,1780,,0,,0,23,44.2,29,55.8,,0,52,2.9
"050160700020000","Morton Grove SD 70","Cook",51,2.4,12.4,30.4,0.2,0.2,3.5,22.6,13,28.1,0.2,889,,0,,0,6,100,,0,,0,6,0.7
"050160710020000","Niles ESD 71","Cook",57.8,1.7,15.3,23.5,0,0.6,1.1,9.6,9.2,44.8,10.4,531,,0,,0,10,62.5,6,37.5,,0,16,3
"050160720020000","Fairview SD 72","Cook",49.4,1.6,14.2,31.1,0.4,0,3.2,10.6,17.1,32.2,0,678,,0,,0,2,100,,0,,0,2,0.3
"050160730020000","East Prairie SD 73","Cook",38.3,3.9,9.3,44.1,0.4,0.2,3.9,20.9,14.3,33,0.2,540,,0,,0,10,76.9,3,23.1,,0,13,2.4
"050160735020000","Skokie SD 73-5","Cook",41,9.1,11.1,32.9,0.1,0.5,5.4,16.7,16.4,38.8,0.3,1025,,0,6,19.4,3,9.7,22,71,,0,31,3
"050160740020000","Lincolnwood SD 74","Cook",52.8,1.1,7,37.3,0,0.9,0.8,17.8,13.5,10.5,0.2,1240,,0,,0,18,60,12,40,,0,30,2.4
"050162020170000","Evanston Twp HSD 202","Cook",43.7,30.2,16.6,4.7,0.1,0.3,4.3,2.7,14.4,42.6,4.5,3230,3,0.3,,0,437,43.7,138,13.8,421,42.1,999,30.9
"050162030170000","New Trier Twp HSD 203","Cook",85.3,0.6,3.9,7.4,0,0.1,2.7,0.3,15,3.9,0.1,4099,,0,,0,,0,66,97.1,2,2.9,68,1.7
"050162070170000","Maine Township HSD 207","Cook",59.5,2.4,21.4,14.3,0.1,0.6,1.7,4.8,13.3,29.1,1,6307,,0,,0,,0,514,100,,0,514,8.1
"050162110170000","Township HSD 211","Cook",51.4,6.2,21.8,17.5,0.2,0.3,2.5,4.3,10.4,34.9,1.7,12183,,0,1,0.1,914,62,560,38,,0,1475,12.1
"050162140170000","Township HSD 214","Cook",58.6,2.3,29,7.2,0,0.2,2.7,5,11.7,28.8,1,11974,,0,,0,705,61.8,436,38.2,,0,1141,9.5
"050162190170000","Niles Twp CHSD 219","Cook",45.2,8.3,13.7,32,0.1,0.3,0.3,5.4,13.3,32.4,1.1,4752,,0,,0,1045,85.4,178,14.6,,0,1223,25.7
"050162250170000","Northfield Twp HSD 225","Cook",70.5,1.3,8.4,16.9,0.1,0.1,2.8,2.5,12.6,16,0.3,4965,2,2.2,,0,48,51.6,43,46.2,,0,93,1.9
"060160780020000","Rosemont ESD 78","Cook",56.5,1.9,27.9,3.8,0,0.4,9.5,10.3,16,37,0.8,262,,,,,,,,,,,,
"060160790020000","Pennoyer SD 79","Cook",74.1,0.5,15.5,7.2,0,0,2.8,14.4,10.2,28,0,432,,0,,0,2,15.4,11,84.6,,0,13,3
"060160800020000","Norridge SD 80","Cook",76.7,0.5,15.2,5.8,0,0.2,1.5,10.9,12,40.2,0.5,1096,,0,,0,22,57.9,16,42.1,,0,38,3.5
"060160810020000","Schiller Park SD 81","Cook",48.7,1.8,38.7,7.1,0,2.2,1.5,28,9.6,71.7,0.8,1436,,0,,0,,0,11,100,,0,11,0.8
"060160830020000","Mannheim SD 83","Cook",15.3,1.4,79.4,2.4,0.2,0.1,1.1,34.6,16.8,83.1,0.7,2778,,0,1,0.4,144,59.3,98,40.3,,0,243,8.7
"060160840020000","Franklin Park SD 84","Cook",31.7,0.8,63.4,1.4,1.1,0,1.6,27,16,59.6,0.2,1306,,0,,0,,0,27,100,,0,27,2.1
"060160845020000","Rhodes SD 84-5","Cook",17.1,6.9,72.6,2.1,0,0,1.4,39.3,11.4,83.4,0.7,727,,0,,0,11,45.8,13,54.2,,0,24,3.3
"060160855020000","River Grove SD 85-5","Cook",50.6,1.8,44.7,1.2,0,0.1,1.6,24.3,13.6,68.6,0.9,678,,0,,0,20,48.8,21,51.2,,0,41,6
"060160860020000","Union Ridge SD 86","Cook",66.7,0,22.9,9.3,0.2,0.2,0.8,30.5,11.3,47.5,0,646,,0,,0,7,23.3,23,76.7,,0,30,4.6
"060160870020000","Berkeley SD 87","Cook",5.2,22.8,68.4,1.5,0.2,0.3,1.6,32.8,15.2,84.6,0.8,2811,,0,,0,169,62.6,101,37.4,,0,270,9.6
"060160880020000","Bellwood SD 88","Cook",0.2,49.6,48.7,0.7,0,0.1,0.6,29.7,9,80,1.5,2675,,0,,0,2,1.4,139,98.6,,0,141,5.3
"060160890020000","Maywood-Melrose Park-Broadview 89","Cook",1.5,34.1,62.7,0.4,0.1,0.1,1,26.9,11.5,85.4,6.2,5355,,0,,0,77,37,131,63,,0,208,3.9
"060160900020000","River Forest SD 90","Cook",72.5,6.9,8.9,5.1,0,0.1,6.6,2.7,19.4,6.9,0.4,1355,,0,,0,6,85.7,1,14.3,,0,7,0.5
"060160910020000","Forest Park SD 91","Cook",23.5,52.4,13.1,3.5,0.1,0.3,7.2,6.9,16.7,38.3,1.9,780,,0,,0,29,36.3,51,63.8,,0,80,10.3
"060160920020000","Lindop SD 92","Cook",0.7,82.3,15,0,0,0,2,5.8,10.6,75.9,0.4,452,1,1.1,,0,10,11.4,77,87.5,,0,88,19.5
"060160925020000","Westchester SD 92-5","Cook",37.8,23.1,33.4,2.4,0,0.3,3,10.7,14.6,35.9,0.3,1217,,0,,0,3,16.7,15,83.3,,0,18,1.5
"060160930020000","Hillside SD 93","Cook",4,45.5,47.2,0.7,0,0.2,2.4,19.3,13.8,75.2,2.2,545,,0,,0,14,53.8,12,46.2,,0,26,4.8
"060160940020000","Komarek SD 94","Cook",44.6,15.7,37.3,2.1,0,0,0.4,10.9,19.1,41.5,1,523,,0,,0,,0,14,100,,0,14,2.7
"060160950020000","Brookfield Lagrange Park SD 95","Cook",64.4,2.2,29.5,1.3,0,0.2,2.5,2.6,10.6,25.1,0.1,1140,,0,,0,34,82.9,7,17.1,,0,41,3.6
"060160960020000","Riverside SD 96","Cook",64,3.5,27.9,2.5,0.1,0,2,5.3,15.4,15.6,0.7,1687,,0,1,5.3,7,36.8,11,57.9,,0,19,1.1
"060160970020000","Oak Park ESD 97","Cook",56.7,21.3,6.2,4.4,0.2,0.1,11.2,2.3,14.7,22.2,1.7,5950,,0,,0,112,56.9,85,43.1,,0,197,3.3
"060160980020000","Berwyn North SD 98","Cook",5.4,10.9,81.3,1.9,0,0.1,0.3,27.5,17.9,89.7,1,3372,,0,,0,,0,203,100,,0,203,6
"060160990020000","Cicero SD 99","Cook",3.7,1.8,92.7,0.1,0,1.5,0.1,51.9,12.2,94.2,1.1,12857,,0,,0,1065,66.4,539,33.6,,0,1604,12.5
"060161000020000","Berwyn South SD 100","Cook",11.2,3.2,82,1.3,0,0.1,2.3,25.3,11.6,77.6,0.6,3917,,0,,0,75,27.9,193,71.7,1,0.4,269,6.9
"060161010020000","Western Springs SD 101","Cook",94.3,0.3,3.3,1.6,0,0.1,0.3,0.1,9.4,0.2,0.1,1441,,0,,0,3,37.5,5,62.5,,0,8,0.6
"060161020020000","La Grange SD 102","Cook",74.9,6.1,14.9,2.1,0,0.1,2,5,12.9,11.7,0.5,3154,,0,,0,19,57.6,14,42.4,,0,33,1
"060161030020000","Lyons SD 103","Cook",29.6,4.3,63.2,1.2,0,0,1.6,21,16.5,79.5,0.4,2543,,0,,0,206,94.5,12,5.5,,0,218,8.6
"060161050020000","La Grange SD 105 South","Cook",51.4,2.7,41.2,1.2,0.1,0.3,3,18,17,48.5,1,1459,,,,,,,,,,,,
"060161060020000","LaGrange Highlands SD 106","Cook",82.7,0.7,12,2.7,0.1,0,1.8,4.6,15.2,6.3,0.1,844,,0,,0,3,42.9,4,57.1,,0,7,0.8
"060161070020000","Pleasantdale SD 107","Cook",74.9,1.9,12.1,7.3,0,0.1,3.6,7.6,7.4,13.1,0.5,833,,,,,,,,,,,,
"060162000130000","Oak Park - River Forest SD 200","Cook",53.9,24.3,11.1,3.1,0,0.1,7.6,0.7,8.2,22.4,1.2,3294,,0,1,0.1,905,87.4,129,12.5,,0,1035,31.4
"060162010170000","J S Morton HSD 201","Cook",6.5,4.2,87.9,0.7,0,0.1,0.5,11.5,11,88.6,0.9,8266,,0,66,1.1,3879,66.7,1873,32.2,,0,5818,70.4
"060162040170000","Lyons Twp HSD 204","Cook",73.9,3.8,18.1,2,0,0.2,2,2.5,10.7,15.8,0.4,4032,,0,,0,169,60.1,112,39.9,,0,281,7
"060162080170000","Riverside-Brookfield Twp SD 208","Cook",59,4.5,31.8,2,0,0.1,2.6,3.5,12.2,17.9,1.3,1584,,0,,0,,0,180,100,,0,180,11.4
"060162090170000","Proviso Twp HSD 209","Cook",3,48.9,46.3,1,0.2,0.2,0.6,10.8,17.3,65,1.8,4605,,0,1,0,1660,52.5,1486,47,13,0.4,3160,68.6
"060162120160000","Leyden CHSD 212","Cook",29.8,1.9,63.7,2.9,0.1,0.6,1,6.8,13.9,56,1,3423,,0,,0,,0,493,100,,0,493,14.4
"060162340160000","Ridgewood CHSD 234","Cook",74.3,0.6,19,4.2,0,0.1,1.8,5.1,7.9,31.8,0.5,828,,0,,0,,0,17,100,,0,17,2.1
"060164010260000","Elmwood Park CUSD 401","Cook",49.6,2.6,43.1,2.3,0.1,0.7,1.5,13.5,17.2,31.5,0.4,2929,,0,3,0.7,216,49.2,220,50.1,,0,439,15
"070161040020000","Summit SD 104","Cook",9.6,5.7,80,1.7,0,0.2,2.8,37,14.1,67.8,0.4,1887,,0,,0,3,15,17,85,,0,20,1.1
"070161080020000","Willow Springs SD 108","Cook",57.3,11.8,29.3,1,0.2,0,0.5,9.8,18.9,72.4,0.7,417,,0,,0,1,16.7,5,83.3,,0,6,1.4
