distID,distEnroll
340490330020000,308
340490340040000,2957
340490360020000,159
340490370020000,879
340490380020000,1815
340490410040000,2809
340490460040000,3967
340490500040000,6129
340490560020000,2199
340490600260000,17042
340490650020000,864
340490670050000,1877
340490680020000,794
340490700020000,2471
340490720020000,147
340490730040000,4083
340490750020000,1679
340490760020000,1078
340490790020000,2193
340490950260000,5738
340490960040000,3140
340491020040000,2127
340491030020000,1647
340491060020000,198
340491090020000,3029
340491120020000,4400
340491130170000,3683
340491140020000,778
340491150160000,1684
340491160260000,7353
340491170160000,2817
340491180260000,4688
340491200130000,2120
340491210170000,4359
340491240160000,1950
340491250130000,3906
340491260170000,2716
340491270160000,3087
340491280160000,3325
340491870260000,3569
340492200260000,8910
340499000250000,395
350500010260000,276
350500020260000,701
350500090260000,429
350500400170000,941
350500440020000,1806
350500650040000,93
350500790040000,218
350500820040000,104
350500950040000,259
350501200170000,1222
350501220020000,1039
350501240020000,943
350501250020000,617
350501400170000,1442
350501410020000,2094
350501500020000,589
350501600170000,461
350501700040000,508
350501750040000,147
350501850040000,229
350501950040000,320
350502100040000,207
350502300040000,66
350502800170000,595
350502890040000,1248
350504250260000,71
350590050260000,619
350590070260000,702
350785350260000,905
390550010260000,1043
390550020260000,1196
390550030260000,2479
390550090260000,718
390550110260000,996
390550150260000,1044
390550610250000,9123
390740050260000,356
390740250260000,1597
390740390260000,
390740570260000,223
390741000260000,530
400070400260000,410
400070420260000,124
400310010260000,635
400310030260000,936
400310100260000,455
400421000260000,2675
400560010260000,1468
400560020260000,363
400560050260000,538
400560060260000,1261
400560070260000,1319
400560080260000,667
400560090260000,1579
400560340260000,1474
410570010260000,1886
410570020260000,3704
410570030260000,121
410570050260000,3014
410570070260000,7551
410570080260000,2539
410570090260000,6486
410570100260000,6496
410570110260000,6646
410570120260000,775
410570130020000,853
410570140160000,542
410570150030000,782
440630020030000,1228
440630030030000,475
440630120260000,2073
440630150040000,4654
440630180040000,310
440630190240000,456
440630260040000,2489
440630360020000,408
440630460030000,788
440630470040000,7765
440630500260000,2502
440631540160000,745
440631550160000,6634
440631560160000,2370
440631570160000,758
440631580220000,9475
440631650030000,1069
440632000260000,6505
450670030260000,493
450670040260000,2001
450670050260000,2691
450790010220000,209
450791320260000,1041
450791340040000,167
450791380260000,426
450791390260000,989
450791400260000,1305
470521700220000,2768
470522200020000,63
470522710260000,221
470522720260000,709
470522750260000,523
470711440030000,89
470711610040000,109
470712120170000,952
470712200260000,1450
470712210260000,870
470712220260000,604
470712230260000,1846
470712260260000,1497
470712310040000,1749
470712690040000,85
470980010260000,663
470980020260000,973
470980030260000,898
470980050260000,3445
470980060260000,1080
470980130020000,1147
470980200020000,314
470981450040000,326
470983010170000,650
480720620020000,538
480720630020000,449
480720660020000,244
480720680020000,382
480720690020000,261
480720700020000,299
480721500250000,13675
480722650260000,1438
480723090260000,714
480723100160000,1140
480723160040000,184
480723210260000,2169
480723220260000,693
480723230260000,4348
480723250260000,832
480723260260000,772
480723270260000,971
480723280030000,155
490810290020000,234
490810300170000,1756
490810340020000,657
490810360020000,296
490810370020000,2784
490810400220000,7379
490810410250000,6830
490811000260000,1159
490812000260000,1520
490813000260000,1140
500820090260000,600
500820190260000,3675
500820300030000,80
500820400260000,622
500820600260000,556
500820700040000,769
500820770160000,623
500820850020000,580
500820900040000,3492
500821040020000,592
500821050020000,808
500821100040000,637
500821130020000,849
500821150020000,1338
500821160020000,468
500821180020000,3967
500821190020000,966
500821300040000,534
500821600040000,794
500821750020000,829
500821810020000,370
500821870260000,3512
500821880220000,146
500821890220000,6116
500821960260000,1143
500822010170000,4827
500822030170000,2511
510652000260000,270
510652020260000,1126
510652130260000,1102
510840010260000,583
51084003A260000,2321
510840050260000,4658
510840080260000,1285
510840100260000,1414
510840110260000,625
510840140260000,1425
510840150260000,1488
510840160260000,899
510841860250000,15048
530601260260000,1051
530601890260000,759
530601910260000,956
530900500020000,781
530900510020000,1246
530900520020000,953
530900760020000,636
530900850020000,141
530900860020000,1689
530900980020000,212
530901020020000,643
530901080020000,3711
530901370020000,255
530903030160000,2030
530903080160000,1206
530903090160000,1112
530906060040000,85
530907010260000,1098
530907020260000,919
530907030260000,471
530907090260000,2911
531020010040000,872
531020020040000,241
531020060260000,1145
531020110260000,1230
531020210260000,386
531020600260000,528
531020690020000,890
531021220170000,963
531021400260000,1644
540920010260000,881
540920020260000,1319
540920040260000,1065
540920070260000,301
540920100260000,157
540920110260000,1293
540920120260000,384
540920610030000,82
540920760260000,1019
540921180240000,6012
540922250170000,116
540925120260000,525
560990170020000,1285
56099030C040000,4459
56099033C040000,3672
56099070C040000,432
560990810020000,114
560990840020000,311
560990860050000,11781
560990880020000,495
56099088A020000,948
560990890020000,335
560990900020000,344
560990910020000,660
560990920020000,1634
560991140020000,1374
560991220020000,5357
56099157C040000,2482
560991590020000,1623
560991610020000,3283
56099200U260000,1046
56099201U260000,4902
560992020220000,28116
560992030040000,380
560992040170000,6427
560992050170000,3670
56099207U260000,1606
56099209U260000,1452
560992100160000,7126
56099255U260000,1631
56099365U260000,17318
