year,Year_Quarter,Total_RTR,sort
2014,2014 1Q,32,5
2014,2014 2Q,25,6
2014,2014 3Q,36,7
2014,2014 4Q,28,8
2015,2015 1Q,34,9
2015,2015 2Q,32,10
2015,2015 3Q,35,11
2015,2015 4Q,55,12
2016,2016 1Q,50,13
2016,2016 2Q,52,14
2016,2016 3Q,56,15
2016,2016 4Q,41,16
